GalID,RAJ2000,DEJ2000,z,X,Y,Z,Grp,Ngal,pred_cc,pred_louvain,pred_leiden,weighted_degree,clustering_coeff
75739,223.1962,42.10887,0.05803,-137.15770564317558,-128.78254140652353,170.0516963296521,27616,2.0,22317,22349,27696,0.0,0.0
323993,223.23469,42.10852,0.05843,-138.0034186030385,-129.75116222278217,171.20616032728756,27616,2.0,22318,22350,27697,0.0,0.0
75815,251.80198,33.30575,0.05368,-61.29476334683451,-186.45079737173438,128.95187497816755,27630,2.0,22319,22351,27698,0.0,0.0
138109,251.80705,33.30564,0.0529,-60.399282944244476,-183.78167408791361,127.10164483886662,27630,2.0,22320,22352,27699,0.0,0.0
75819,140.5658,4.08263,0.05809,-195.57398615185585,160.84188297969575,18.07372418790205,27631,4.0,22321,22353,27700,0.0,0.0
130435,140.56566,3.97516,0.05846,-196.82769701931394,161.8737528017286,17.709241566478475,27631,4.0,22322,22354,6970,0.8200985814827851,0.22830465204741507
143303,140.53791,3.95963,0.05847,-196.78614873312645,161.99941953668593,17.643140653453433,27631,4.0,22322,22354,6970,0.8467775237188675,0.22830465204741507
150160,140.59808,3.89759,0.05894,-198.53158588805908,163.08682509294917,17.504750663750844,27631,4.0,22323,22355,27701,0.0,0.0
75826,167.84127,47.33155,0.0579,-167.65422736087393,36.121740704981676,186.0597210125172,27634,2.0,22324,22356,27702,0.0,0.0
434049,167.78868,47.39294,0.05848,-169.0795210135528,36.59125470333076,188.08266589275,27634,2.0,22325,22357,27703,0.0,0.0
75867,123.47166,42.70561,0.03179,-56.66144817144054,85.69817841818939,94.82073161060416,27645,2.0,22326,22358,12695,0.15969186601959637,0.0
508074,123.47494,42.75541,0.03161,-56.30269185691503,85.1449785150498,94.37664199589726,27645,2.0,22326,22358,12695,0.15969186601959637,0.0
75871,190.49669,27.80497,0.04161,-158.78273554047323,-29.419152620695137,85.15934699000269,27646,2.0,22327,22359,27704,0.0,0.0
376429,190.53009,27.86568,0.04217,-160.79072575427617,-29.888151095847963,86.46722095749914,27646,2.0,22328,22360,27705,0.0,0.0
75875,190.42918,27.85867,0.05555,-211.21017921381565,-38.87552219630539,113.51029843935152,27648,2.0,22329,22361,27706,0.0,0.0
195248,190.33689,27.92492,0.05517,-209.71810858178188,-38.25174284526866,112.99070630962314,27648,2.0,22330,22362,27707,0.0,0.0
75881,184.06191,12.6338,0.05782,-245.96085736280907,-17.46634735558284,55.26996567174969,27649,2.0,22331,22363,27708,0.0,0.0
130618,184.08173,12.67435,0.05899,-250.82099307759833,-17.89868352083177,56.55041282141794,27649,2.0,22332,22364,27709,0.0,0.0
75919,200.44078,46.80744,0.05239,-147.0416034103999,-54.80344454448091,167.1489107344045,27663,2.0,22333,22365,27710,0.0,0.0
499576,200.45769,46.80232,0.05296,-148.61879508491336,-55.44123613995163,168.9301152090387,27663,2.0,22334,22366,27711,0.0,0.0
127228,213.03982,5.63098,0.05963,-217.3172181640751,-141.34227723180194,25.560047711593942,27679,3.0,22335,22367,27712,0.0,0.0
449668,212.9119,5.73619,0.05995,-218.743253255907,-141.57581115696098,26.173730031299996,27679,3.0,22336,22368,27713,0.0,0.0
75971,223.12589,5.86779,0.05833,-185.06207193964073,-173.3349416316162,26.0588797670558,27685,2.0,22337,22369,12696,0.059071173938694266,0.0
233322,223.13503,5.91597,0.05861,-185.8939288077951,-174.1697627022147,26.396417510944563,27685,2.0,22337,22369,12696,0.059071173938694266,0.0
75981,240.04644,46.7832,0.02022,-30.486396380851257,-52.90296711435432,64.98253857913633,27690,2.0,213,224,79,0.37723207256827485,0.08944558719469309
236969,239.63993,46.78177,0.0201,-30.67950148110766,-52.37553964277095,64.59719948982674,27690,2.0,213,224,79,0.4633161394640555,0.08944558719469309
76003,157.02021,46.91793,0.05259,-144.71587248293446,61.36800923939813,168.0823651148618,27696,2.0,22338,22370,6971,0.05883199432658737,0.0
185035,157.11114,46.90796,0.05225,-143.91539979678353,60.75927338502298,166.9821849339311,27696,2.0,22338,22370,6971,0.07069308155445007,0.0
76005,210.73895,55.31806,0.04131,-88.6501884926911,-52.71817407382808,149.0548549274567,27697,2.0,4087,4118,248,0.09765793000145215,0.0
126201,210.58681,55.30941,0.04206,-90.40536745221084,-53.43749788784164,151.7179105507658,27697,2.0,22339,22371,27714,0.0,0.0
76048,247.03275,21.2928,0.03651,-58.31014734926475,-137.58870456903114,58.24051689336138,27708,3.0,1622,1650,231,0.1875379480937049,0.0
144266,247.05226,21.28568,0.03697,-58.99375405980357,-139.3337835469267,58.949034583750844,27708,3.0,3173,3203,4829,0.0954645383938888,0.0
